Posición,Iters_per_s,Iterations,Time
Mate en 3 - ejemplo,43.72340401335849,66,1.5094890594482422
Mate en 3 - ejemplo,43.670781848858276,66,1.511307954788208
Promotion tactic,9355.207948843985,14035,1.5002338886260986
Promotion tactic,9559.308313110365,14341,1.5002131462097168
Promotion tactic,8781.78310828089,13174,1.5001509189605713
Promotion tactic,9249.60519298723,13876,1.5001721382141113
Promotion tactic,9708.10351332027,14564,1.500190019607544
Promotion tactic,9434.885771413143,14154,1.5001771450042725
Promotion tactic,9345.102840087347,14019,1.5001440048217773
Promotion tactic,9918.13050626496,14879,1.5001819133758545
Promotion tactic,9732.978872942864,14602,1.5002601146697998
Promotion tactic,9967.429343808886,14953,1.5001862049102783
Complex mid-endgame,21.795656711085105,33,1.5140631198883057
Complex mid-endgame,22.76019847798813,35,1.5377721786499023
Complex mid-endgame,22.569418214420523,34,1.5064632892608643
Complex mid-endgame,23.528810902899266,36,1.5300390720367432
Complex mid-endgame,23.160351922221945,35,1.5112032890319824
Complex mid-endgame,21.82473830329618,33,1.5120456218719482
Complex mid-endgame,20.215141149337793,31,1.5335040092468262
Complex mid-endgame,22.525789540442183,34,1.5093810558319092
Complex mid-endgame,22.84753074987199,35,1.5318942070007324
Complex mid-endgame,19.562236892059165,30,1.533566951751709
